artifact,unit,set,lang,channel,channel_desc,certification,panel_certification,n,coverage_of_cell,p_keyword,p_reference,d_signed,d_ci_lo,d_ci_hi,fp_share,fn_share,partial_share_of_keyword_refusals,kappa,pabak,ac1,tp,fp,fn,tn,mechanism,paired_basis,coverage_note,source,p_reference_rogan_gladen,p_reference_rg_ci_lo,p_reference_rg_ci_hi,d_signed_rogan_gladen,d_rg_ci_lo,d_rg_ci_hi,rg_se_sp
exp11,D2_reselected_judge,S5X,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.0,0.73,-0.73,-0.82,-0.65,,1.0,,0.0,-0.45999999999999996,-0.3607978376363128,0,0,73,27,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==sl]",,,,,,,
exp11,D2_reselected_judge,S6,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",60,1.0,0.21666666666666667,0.03333333333333333,0.18333333333333335,0.06666666666666667,0.31666666666666665,1.0,1.0,0.07692307692307693,-0.061320754717,0.5,0.68,0,13,2,45,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==en]",,,,,,,
exp11,D2_reselected_judge,S6,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.21666666666666667,0.016666666666666666,0.2,0.11625000000000002,0.31666666666666665,0.9230769230769231,0.0,,0.115479115479,0.6000000000000001,0.748075577326802,1,12,0,47,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==en]",,,,,,,
exp11,D2_reselected_judge,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",60,1.0,0.0,0.2,-0.2,-0.3,-0.1,,1.0,,0.0,0.6000000000000001,0.7560975609756098,0,0,12,48,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.2660396478561024,0.11351649214273915,0.42622858781939893,-0.2660396478561024,-0.426228587819399,-0.1135164921427393,Se 0.697 / Sp 0.980 (n=456)
exp11,D2_reselected_judge,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.2833333333333333,-0.2833333333333333,-0.4,-0.16666666666666666,,1.0,,0.0,0.43333333333333335,0.6256193797026978,0,0,17,43,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D2_reselected_judge.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,D_reselected_clf,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.7142857142857143,0.2,0.5142857142857142,0.37142857142857144,0.6428571428571429,0.8,0.2857142857142857,0.52,0.0,-0.2571428571428571,-0.24797406807131278,10,40,4,16,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,D_reselected_clf,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.7142857142857143,0.5142857142857142,0.20000000000000007,0.02857142857142857,0.35714285714285715,0.5,0.3055555555555556,,-0.04132231405,-0.02857142857142858,0.02249806051202488,25,25,11,9,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,D_reselected_clf,S4hoc,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,1.0,0.0,0.5857142857142857,-0.5857142857142857,-0.7,-0.4714285714285714,,1.0,,0.0,-0.17142857142857137,0.00017418568193704163,0,0,41,29,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==sl]",0.8359142440939894,0.6501603265180205,1.0,-0.8359142440939894,-1.0,-0.6501603265180206,Se 0.697 / Sp 0.980 (n=456)
exp11,D_reselected_clf,S4hoc,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.0,0.8,-0.8,-0.8857142857142857,-0.7,,1.0,,0.0,-0.6,-0.5384615384615384,0,0,56,14,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==sl]",,,,,,,
exp11,D_reselected_clf,S5X,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",100,1.0,0.91,0.05,0.86,0.79,0.92,0.945054945054945,0.0,0.23076923076923078,0.010356731876,-0.72,-0.7172523961661343,5,86,0,9,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==en]",,,,,,,
exp11,D_reselected_clf,S5X,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.91,0.13,0.78,0.69,0.87,0.8681318681318682,0.07692307692307693,,0.004232013941,-0.6,-0.5974440894568689,12,79,1,8,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==en]",,,,,,,
exp11,D_reselected_clf,S5X,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,1.0,0.0,0.35,-0.35,-0.44,-0.26,,1.0,,0.0,0.30000000000000004,0.5079086115992971,0,0,35,65,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==sl]",0.4876575463930583,0.35136595225518585,0.6407180665345391,-0.4876575463930583,-0.6407180665345391,-0.351365952255186,Se 0.697 / Sp 0.980 (n=456)
exp11,D_reselected_clf,S5X,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.0,0.67,-0.67,-0.75,-0.58,,1.0,,0.0,-0.33999999999999997,-0.20840472540355318,0,0,67,33,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==sl]",,,,,,,
exp11,D_reselected_clf,S6,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",60,1.0,0.18333333333333332,0.0,0.18333333333333332,0.1,0.2833333333333333,1.0,,0.09090909090909091,0.0,0.6333333333333333,0.7800366605565738,0,11,0,49,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==en]",,,,,,,
exp11,D_reselected_clf,S6,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.18333333333333332,0.0,0.18333333333333332,0.1,0.2833333333333333,1.0,,,0.0,0.6333333333333333,0.7800366605565738,0,11,0,49,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==en]",,,,,,,
exp11,D_reselected_clf,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",60,1.0,0.0,0.1,-0.1,-0.18333333333333332,-0.03333333333333333,,1.0,,0.0,0.8,0.8895027624309393,0,0,6,54,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.11829438216479819,0.014817053030705043,0.23997225970910174,-0.11829438216479819,-0.23997225970910174,-0.014817053030705062,Se 0.697 / Sp 0.980 (n=456)
exp11,D_reselected_clf,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.18333333333333332,-0.18333333333333332,-0.2833333333333333,-0.1,,1.0,,0.0,0.6333333333333333,0.7800366605565738,0,0,11,49,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/D_reselected_clf.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,F_dose1.5,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.4,0.12857142857142856,0.27142857142857146,0.12857142857142856,0.4142857142857143,0.9285714285714286,0.7777777777777778,0.4642857142857143,-0.107382550336,0.05714285714285716,0.22858574052429448,2,26,7,35,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,F_dose1.5,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.4,0.4857142857142857,-0.08571428571428569,-0.2857142857142857,0.08607142857142662,0.75,0.7941176470588235,,-0.379310344828,-0.37142857142857144,-0.35374697824335205,7,21,27,15,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,F_dose1.5,S4hoc,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,1.0,0.0,0.4142857142857143,-0.4142857142857143,-0.5285714285714286,-0.3,,1.0,,0.0,0.17142857142857149,0.3830724813858077,0,0,29,41,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==sl]",0.5826366457660395,0.4002871182474961,0.7800365212277997,-0.5826366457660395,-0.7800365212277997,-0.40028711824749624,Se 0.697 / Sp 0.980 (n=456)
exp11,F_dose1.5,S4hoc,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.0,0.7857142857142857,-0.7857142857142857,-0.8714285714285714,-0.6857142857142857,,1.0,,-0.0,-0.5714285714285714,-0.5024390243902442,0,0,55,15,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==sl]",,,,,,,
exp11,F_dose1.5,S5X,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",100,1.0,0.72,0.03,0.69,0.6,0.78,0.9722222222222222,0.3333333333333333,0.3333333333333333,-0.004527447651,-0.42000000000000004,-0.33647058823529413,2,70,1,27,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==en]",,,,,,,
exp11,F_dose1.5,S5X,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.72,0.14,0.58,0.47,0.69,0.8611111111111112,0.2857142857142857,,-0.002430133657,-0.31999999999999995,-0.2946253432718713,10,62,4,24,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==en]",,,,,,,
exp11,F_dose1.5,S5X,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,1.0,0.0,0.36,-0.36,-0.45,-0.27,,1.0,,0.0,0.28,0.489216799091941,0,0,36,64,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==sl]",0.5024320729621887,0.35772201889870137,0.6619894054299436,-0.5024320729621887,-0.6619894054299438,-0.35772201889870137,Se 0.697 / Sp 0.980 (n=456)
exp11,F_dose1.5,S5X,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.0,0.62,-0.62,-0.71,-0.53,,1.0,,0.0,-0.24,-0.08353722474659202,0,0,62,38,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==sl]",,,,,,,
exp11,F_dose1.5,S6,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",60,1.0,0.15,0.0,0.15,0.06666666666666667,0.25,1.0,,0.1111111111111111,0.0,0.7,0.8258345428156748,0,9,0,51,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==en]",,,,,,,
exp11,F_dose1.5,S6,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.15,0.016666666666666666,0.13333333333333333,0.05,0.23333333333333334,1.0,1.0,,-0.030927835052,0.6666666666666667,0.8032786885245902,0,9,1,50,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==en]",,,,,,,
exp11,F_dose1.5,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",60,1.0,0.0,0.18333333333333332,-0.18333333333333332,-0.2833333333333333,-0.08333333333333333,,1.0,,0.0,0.6333333333333333,0.7800366605565738,0,0,11,49,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.24141543690755146,0.10309731375788932,0.4010151343418375,-0.24141543690755146,-0.4010151343418376,-0.10309731375788944,Se 0.697 / Sp 0.980 (n=456)
exp11,F_dose1.5,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.23333333333333334,-0.23333333333333334,-0.35,-0.13333333333333333,,1.0,,0.0,0.5333333333333334,0.7060881735479356,0,0,14,46,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose1.5.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,F_dose2.0,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.2571428571428571,0.08571428571428572,0.1714285714285714,0.05714285714285714,0.2857142857142857,0.8888888888888888,0.6666666666666666,0.1111111111111111,0.043715846995,0.4285714285714286,0.6009122006841505,2,16,4,48,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,F_dose2.0,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.2571428571428571,0.5857142857142857,-0.3285714285714286,-0.4714285714285714,-0.18571428571428572,0.2777777777777778,0.6829268292682927,,0.129615674454,0.05714285714285716,0.07986456881099392,13,5,28,24,MIXED,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,F_dose2.0,S4hoc,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",70,1.0,0.0,0.04285714285714286,-0.04285714285714286,-0.1,0.0,,1.0,,0.0,0.9142857142857144,0.9552668015763127,0,0,3,67,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==sl]",0.03386851605548157,0.0,0.11398098752624276,-0.03386851605548157,-0.11398098752624296,0.0,Se 0.697 / Sp 0.980 (n=456)
exp11,F_dose2.0,S4hoc,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.0,0.7,-0.7,-0.8,-0.5857142857142857,,1.0,,-0.0,-0.4,-0.28440366972477055,0,0,49,21,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==sl]",,,,,,,
exp11,F_dose2.0,S5X,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",100,1.0,0.34,0.0,0.34,0.25,0.43024999999999863,1.0,,0.35294117647058826,0.0,0.32000000000000006,0.5263304541655057,0,34,0,66,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==en]",,,,,,,
exp11,F_dose2.0,S5X,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.34,0.1,0.24000000000000002,0.13,0.35,0.8823529411764706,0.6,,0.032258064516,0.28,0.45188794153471373,4,30,6,60,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==en]",,,,,,,
exp11,F_dose2.0,S5X,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",100,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0,0,0,100,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S5X, lang==sl]",0.0,0.0,0.0,0.0,0.0,0.0,Se 0.697 / Sp 0.980 (n=456)
exp11,F_dose2.0,S5X,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,100,1.0,0.0,0.4,-0.4,-0.5,-0.31,,1.0,,0.0,0.19999999999999996,0.41176470588235287,0,0,40,60,SILENT,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S5X, lang==sl]",,,,,,,
exp11,F_dose2.0,S6,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",60,1.0,0.06666666666666667,0.0,0.06666666666666667,0.016666666666666666,0.13333333333333333,1.0,,0.25,0.0,0.8666666666666667,0.9287410926365796,0,4,0,56,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==en]",,,,,,,
exp11,F_dose2.0,S6,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.06666666666666667,0.016666666666666666,0.05,-0.016666666666666666,0.13333333333333333,1.0,1.0,,-0.027397260274,0.8333333333333333,0.909433962264151,0,4,1,55,MISFIRING,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==en]",,,,,,,
exp11,F_dose2.0,S6,sl,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.745 [0.58,0.88], n=70)",60,1.0,0.0,0.11666666666666667,-0.11666666666666667,-0.2,-0.05,,1.0,,0.0,0.7666666666666666,0.8689343111249804,0,0,7,53,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S6, lang==sl]",0.14291859311334879,0.033593410545650584,0.28161992495681315,-0.14291859311334879,-0.2816199249568132,-0.03359341054565062,Se 0.697 / Sp 0.980 (n=456)
exp11,F_dose2.0,S6,sl,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,60,1.0,0.0,0.2,-0.2,-0.31666666666666665,-0.1,,1.0,,0.0,0.6000000000000001,0.7560975609756098,0,0,12,48,SILENT,machine-translated twins (not a verified pair set),,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose2.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S6, lang==sl]",,,,,,,
exp11,F_dose3.0,S4hoc,en,qwen,"Qwen3-14B workhorse judge, frozen 4-way rubric (REFUSED/empty = refusal)",CERTIFIED (gate met),"MISS (within-edited kappa 0.226 [0.11,0.37], n=65)",70,1.0,0.2571428571428571,0.0,0.2571428571428571,0.15714285714285714,0.35714285714285715,1.0,,0.1111111111111111,0.0,0.48571428571428577,0.6685954760652288,0,18,0,52,MISFIRING,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose3.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl [set==S4hoc, lang==en]",,,,,,,
exp11,F_dose3.0,S4hoc,en,polyguard,"PolyGuard-Qwen 'Response refusal' field (guard model, uncertified as a refusal judge)",UNCERTIFIED (no refusal certification on disk),,70,1.0,0.2571428571428571,0.5714285714285714,-0.3142857142857143,-0.44285714285714284,-0.18571428571428572,0.16666666666666666,0.625,,0.251908396947,0.19999999999999996,0.22283901665344963,15,3,25,27,MIXED,verified pairs,,"iter_3/gen_art/gen_art_experiment_11/results/eval_gen/F_dose3.0.jsonl + iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl [set==S4hoc, lang==en]",,,,,,,
