line,token,context
120,0.044,KL1 values ranged from 0.011 to 0.044. Gemma EN edit showed KL1 med
120,0.0000,m 0.011 to 0.044. Gemma EN edit showed KL1 median 0.0000 (at the first token the edit 
122,0,"#### T3: Utility (0-shot, 250 items per task per "
122,250,"#### T3: Utility (0-shot, 250 items per task per language)"
124,95%, | Lang | Macro original | Macro edited | Change [95% CI] | Holm p |
126,72.5,"| GaMS3 | EN | 72.5 | 72.7 | +0.13 [-0.53, +0.80]"
126,72.7,"| GaMS3 | EN | 72.5 | 72.7 | +0.13 [-0.53, +0.80] | 1.00"
126,+0.13,"| GaMS3 | EN | 72.5 | 72.7 | +0.13 [-0.53, +0.80] | 1.000 |"
126,-0.53,"| GaMS3 | EN | 72.5 | 72.7 | +0.13 [-0.53, +0.80] | 1.000 |"
126,+0.80,"| GaMS3 | EN | 72.5 | 72.7 | +0.13 [-0.53, +0.80] | 1.000 |"
126,1.000,"GaMS3 | EN | 72.5 | 72.7 | +0.13 [-0.53, +0.80] | 1.000 |"
127,64.9,"| GaMS3 | SL | 64.9 | 65.1 | +0.20 [-0.73, +1.13]"
127,65.1,"| GaMS3 | SL | 64.9 | 65.1 | +0.20 [-0.73, +1.13] | 1.00"
127,+0.20,"| GaMS3 | SL | 64.9 | 65.1 | +0.20 [-0.73, +1.13] | 1.000 |"
127,-0.73,"| GaMS3 | SL | 64.9 | 65.1 | +0.20 [-0.73, +1.13] | 1.000 |"
127,+1.13,"| GaMS3 | SL | 64.9 | 65.1 | +0.20 [-0.73, +1.13] | 1.000 |"
127,1.000,"GaMS3 | SL | 64.9 | 65.1 | +0.20 [-0.73, +1.13] | 1.000 |"
128,71.5,"| Gemma | EN | 71.5 | 71.6 | +0.13 [-0.53, +0.80]"
128,71.6,"| Gemma | EN | 71.5 | 71.6 | +0.13 [-0.53, +0.80] | 1.00"
128,+0.13,"| Gemma | EN | 71.5 | 71.6 | +0.13 [-0.53, +0.80] | 1.000 |"
128,-0.53,"| Gemma | EN | 71.5 | 71.6 | +0.13 [-0.53, +0.80] | 1.000 |"
128,+0.80,"| Gemma | EN | 71.5 | 71.6 | +0.13 [-0.53, +0.80] | 1.000 |"
128,1.000,"Gemma | EN | 71.5 | 71.6 | +0.13 [-0.53, +0.80] | 1.000 |"
129,62.1,"| Gemma | SL | 62.1 | 62.1 | +0.00 [-0.60, +0.60]"
129,62.1,"| Gemma | SL | 62.1 | 62.1 | +0.00 [-0.60, +0.60] | 1.00"
129,+0.00,"| Gemma | SL | 62.1 | 62.1 | +0.00 [-0.60, +0.60] | 1.000 |"
129,-0.60,"| Gemma | SL | 62.1 | 62.1 | +0.00 [-0.60, +0.60] | 1.000 |"
129,+0.60,"| Gemma | SL | 62.1 | 62.1 | +0.00 [-0.60, +0.60] | 1.000 |"
129,1.000,"Gemma | SL | 62.1 | 62.1 | +0.00 [-0.60, +0.60] | 1.000 |"
131,0.20,All macro changes were ≤ 0.20 points. All Holm-corrected p-
131,1.000,e ≤ 0.20 points. All Holm-corrected p-values were 1.000 over the 4 macro comparisons.
131,4,. All Holm-corrected p-values were 1.000 over the 4 macro comparisons. Individual
131,-1.20, comparisons. Individual task changes ranged from -1.20 to +1.60 points; none reached
131,+1.60,ons. Individual task changes ranged from -1.20 to +1.60 points; none reached signific
135,95%,odel | Lang | NLL original | NLL edited | Change [95% CI] |
137,3.3072,"| GaMS3 | EN | 3.3072 | 3.3068 | -0.0004 [-0.0025, "
137,3.3068,"| GaMS3 | EN | 3.3072 | 3.3068 | -0.0004 [-0.0025, +0.0016] "
137,-0.0004,"| GaMS3 | EN | 3.3072 | 3.3068 | -0.0004 [-0.0025, +0.0016] |"
137,-0.0025,"| GaMS3 | EN | 3.3072 | 3.3068 | -0.0004 [-0.0025, +0.0016] |"
137,+0.0016," GaMS3 | EN | 3.3072 | 3.3068 | -0.0004 [-0.0025, +0.0016] |"
138,2.4524,"| GaMS3 | SL | 2.4524 | 2.4526 | +0.0002 [-0.0012, "
138,2.4526,"| GaMS3 | SL | 2.4524 | 2.4526 | +0.0002 [-0.0012, +0.0016] "
138,+0.0002,"| GaMS3 | SL | 2.4524 | 2.4526 | +0.0002 [-0.0012, +0.0016] |"
138,-0.0012,"| GaMS3 | SL | 2.4524 | 2.4526 | +0.0002 [-0.0012, +0.0016] |"
138,+0.0016," GaMS3 | SL | 2.4524 | 2.4526 | +0.0002 [-0.0012, +0.0016] |"
139,3.9194,"| Gemma | EN | 3.9194 | 3.9174 | -0.0020 [-0.0031, "
139,3.9174,"| Gemma | EN | 3.9194 | 3.9174 | -0.0020 [-0.0031, -0.0008] "
139,-0.0020,"| Gemma | EN | 3.9194 | 3.9174 | -0.0020 [-0.0031, -0.0008] |"
139,-0.0031,"| Gemma | EN | 3.9194 | 3.9174 | -0.0020 [-0.0031, -0.0008] |"
139,-0.0008," Gemma | EN | 3.9194 | 3.9174 | -0.0020 [-0.0031, -0.0008] |"
140,3.4289,"| Gemma | SL | 3.4289 | 3.4293 | +0.0004 [-0.0007, "
140,3.4293,"| Gemma | SL | 3.4289 | 3.4293 | +0.0004 [-0.0007, +0.0016] "
140,+0.0004,"| Gemma | SL | 3.4289 | 3.4293 | +0.0004 [-0.0007, +0.0016] |"
140,-0.0007,"| Gemma | SL | 3.4289 | 3.4293 | +0.0004 [-0.0007, +0.0016] |"
140,+0.0016," Gemma | SL | 3.4289 | 3.4293 | +0.0004 [-0.0007, +0.0016] |"
142,0.002,NLL shifts were ≤ 0.002 for all cells. The Gemma Engl
142,-0.002,02 for all cells. The Gemma English NLL decrease (-0.002) was statistically below zero
148,34,| GaMS3 | 34 | 0.832 | 0.890 | 0.963 / 0.9
148,0.832,| GaMS3 | 34 | 0.832 | 0.890 | 0.963 / 0.945 | 0.9
148,0.890,| GaMS3 | 34 | 0.832 | 0.890 | 0.963 / 0.945 | 0.998 / 0.9
148,0.963,| GaMS3 | 34 | 0.832 | 0.890 | 0.963 / 0.945 | 0.998 / 0.997 | 0.0
148,0.945,| GaMS3 | 34 | 0.832 | 0.890 | 0.963 / 0.945 | 0.998 / 0.997 | 0.035 | 0.4
148,0.998,| GaMS3 | 34 | 0.832 | 0.890 | 0.963 / 0.945 | 0.998 / 0.997 | 0.035 | 0.490 |
148,0.997,S3 | 34 | 0.832 | 0.890 | 0.963 / 0.945 | 0.998 / 0.997 | 0.035 | 0.490 |
148,0.035,| 0.832 | 0.890 | 0.963 / 0.945 | 0.998 / 0.997 | 0.035 | 0.490 |
148,0.490,| 0.890 | 0.963 / 0.945 | 0.998 / 0.997 | 0.035 | 0.490 |
149,20,| Gemma | 20 | 0.919 | 0.979 | 0.979 / 0.9
149,0.919,| Gemma | 20 | 0.919 | 0.979 | 0.979 / 0.941 | 0.9
149,0.979,| Gemma | 20 | 0.919 | 0.979 | 0.979 / 0.941 | 0.997 / 0.9
149,0.979,| Gemma | 20 | 0.919 | 0.979 | 0.979 / 0.941 | 0.997 / 0.996 | 0.1
149,0.941,| Gemma | 20 | 0.919 | 0.979 | 0.979 / 0.941 | 0.997 / 0.996 | 0.109 | 0.5
149,0.997,| Gemma | 20 | 0.919 | 0.979 | 0.979 / 0.941 | 0.997 / 0.996 | 0.109 | 0.515 |
149,0.996,ma | 20 | 0.919 | 0.979 | 0.979 / 0.941 | 0.997 / 0.996 | 0.109 | 0.515 |
149,0.109,| 0.919 | 0.979 | 0.979 / 0.941 | 0.997 / 0.996 | 0.109 | 0.515 |
149,0.515,| 0.979 | 0.979 / 0.941 | 0.997 / 0.996 | 0.109 | 0.515 |
151,0.94,validation AUROC on S3 development items exceeded 0.94 for both models in both langu
151,0.995,s-language transfer on held-out S4 items exceeded 0.995 in both directions for both m
151,0.035,dentity direction is near-orthogonal to d_EN (cos 0.035 and 0.109). Shuffled-label AU
151,0.109,rection is near-orthogonal to d_EN (cos 0.035 and 0.109). Shuffled-label AUROC was at
151,0.49,"5 and 0.109). Shuffled-label AUROC was at chance (0.49--0.52), confirming the direct"
151,-0.52," 0.109). Shuffled-label AUROC was at chance (0.49--0.52), confirming the directions a"
153,70.3%,"tion is separate. For Gemma, the behavioural gap (70.3% vs. 95.3% residual refusal) c"
153,95.3%,"parate. For Gemma, the behavioural gap (70.3% vs. 95.3% residual refusal) cannot be a"
157,95%,g | Probe | Frozen orig AUROC | Frozen edit-orig [95% CI] | Refit edit-orig [95% CI
157,95%,OC | Frozen edit-orig [95% CI] | Refit edit-orig [95% CI] | Class |
159,0.998,"| GaMS3 | EN | dim | 0.998 | -0.401 [-0.434, -0.368] | -"
159,-0.401,"| GaMS3 | EN | dim | 0.998 | -0.401 [-0.434, -0.368] | -0.014 [-0"
159,-0.434,"| GaMS3 | EN | dim | 0.998 | -0.401 [-0.434, -0.368] | -0.014 [-0.021, -0"
159,-0.368,"| GaMS3 | EN | dim | 0.998 | -0.401 [-0.434, -0.368] | -0.014 [-0.021, -0.007] | "
159,-0.014,"S3 | EN | dim | 0.998 | -0.401 [-0.434, -0.368] | -0.014 [-0.021, -0.007] | INFO-LOSS "
159,-0.021,"| dim | 0.998 | -0.401 [-0.434, -0.368] | -0.014 [-0.021, -0.007] | INFO-LOSS |"
159,-0.007,"0.998 | -0.401 [-0.434, -0.368] | -0.014 [-0.021, -0.007] | INFO-LOSS |"
160,0.999,"| GaMS3 | EN | lr | 0.999 | -0.596 [-0.623, -0.570] | -"
160,-0.596,"| GaMS3 | EN | lr | 0.999 | -0.596 [-0.623, -0.570] | -0.000 [-0"
160,-0.623,"| GaMS3 | EN | lr | 0.999 | -0.596 [-0.623, -0.570] | -0.000 [-0.001, 0."
160,-0.570,"| GaMS3 | EN | lr | 0.999 | -0.596 [-0.623, -0.570] | -0.000 [-0.001, 0.001] | D"
160,-0.000,"MS3 | EN | lr | 0.999 | -0.596 [-0.623, -0.570] | -0.000 [-0.001, 0.001] | DRIFT |"
160,-0.001," | lr | 0.999 | -0.596 [-0.623, -0.570] | -0.000 [-0.001, 0.001] | DRIFT |"
160,0.001,"0.999 | -0.596 [-0.623, -0.570] | -0.000 [-0.001, 0.001] | DRIFT |"
161,0.997,"| GaMS3 | SL | dim | 0.997 | -0.576 [-0.611, -0.542] | -"
161,-0.576,"| GaMS3 | SL | dim | 0.997 | -0.576 [-0.611, -0.542] | -0.043 [-0"
161,-0.611,"| GaMS3 | SL | dim | 0.997 | -0.576 [-0.611, -0.542] | -0.043 [-0.056, -0"
161,-0.542,"| GaMS3 | SL | dim | 0.997 | -0.576 [-0.611, -0.542] | -0.043 [-0.056, -0.030] | "
161,-0.043,"S3 | SL | dim | 0.997 | -0.576 [-0.611, -0.542] | -0.043 [-0.056, -0.030] | INFO-LOSS "
161,-0.056,"| dim | 0.997 | -0.576 [-0.611, -0.542] | -0.043 [-0.056, -0.030] | INFO-LOSS |"
161,-0.030,"0.997 | -0.576 [-0.611, -0.542] | -0.043 [-0.056, -0.030] | INFO-LOSS |"
162,0.996,"| GaMS3 | SL | lr | 0.996 | -0.661 [-0.691, -0.635] | -"
162,-0.661,"| GaMS3 | SL | lr | 0.996 | -0.661 [-0.691, -0.635] | -0.000 [-0"
162,-0.691,"| GaMS3 | SL | lr | 0.996 | -0.661 [-0.691, -0.635] | -0.000 [-0.002, 0."
162,-0.635,"| GaMS3 | SL | lr | 0.996 | -0.661 [-0.691, -0.635] | -0.000 [-0.002, 0.002] | D"
162,-0.000,"MS3 | SL | lr | 0.996 | -0.661 [-0.691, -0.635] | -0.000 [-0.002, 0.002] | DRIFT |"
162,-0.002," | lr | 0.996 | -0.661 [-0.691, -0.635] | -0.000 [-0.002, 0.002] | DRIFT |"
162,0.002,"0.996 | -0.661 [-0.691, -0.635] | -0.000 [-0.002, 0.002] | DRIFT |"
163,0.997,"| Gemma | EN | dim | 0.997 | -0.000 [-0.001, 0.000] | -0"
163,-0.000,"| Gemma | EN | dim | 0.997 | -0.000 [-0.001, 0.000] | -0.000 [-0."
163,-0.001,"| Gemma | EN | dim | 0.997 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.0"
163,0.000,"| Gemma | EN | dim | 0.997 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | P"
163,-0.000,"mma | EN | dim | 0.997 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | PRESERVED |"
163,-0.001," | dim | 0.997 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | PRESERVED |"
163,0.000," 0.997 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | PRESERVED |"
164,0.996,"| Gemma | EN | lr | 0.996 | -0.001 [-0.002, 0.000] | -0"
164,-0.001,"| Gemma | EN | lr | 0.996 | -0.001 [-0.002, 0.000] | -0.000 [-0."
164,-0.002,"| Gemma | EN | lr | 0.996 | -0.001 [-0.002, 0.000] | -0.000 [-0.000, 0.0"
164,0.000,"| Gemma | EN | lr | 0.996 | -0.001 [-0.002, 0.000] | -0.000 [-0.000, 0.000] | P"
164,-0.000,"emma | EN | lr | 0.996 | -0.001 [-0.002, 0.000] | -0.000 [-0.000, 0.000] | PRESERVED |"
164,-0.000,"N | lr | 0.996 | -0.001 [-0.002, 0.000] | -0.000 [-0.000, 0.000] | PRESERVED |"
164,0.000," 0.996 | -0.001 [-0.002, 0.000] | -0.000 [-0.000, 0.000] | PRESERVED |"
165,0.996,"| Gemma | SL | dim | 0.996 | -0.000 [-0.001, 0.000] | -0"
165,-0.000,"| Gemma | SL | dim | 0.996 | -0.000 [-0.001, 0.000] | -0.000 [-0."
165,-0.001,"| Gemma | SL | dim | 0.996 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.0"
165,0.000,"| Gemma | SL | dim | 0.996 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | P"
165,-0.000,"mma | SL | dim | 0.996 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | PRESERVED |"
165,-0.001," | dim | 0.996 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | PRESERVED |"
165,0.000," 0.996 | -0.000 [-0.001, 0.000] | -0.000 [-0.001, 0.000] | PRESERVED |"
166,0.989,"| Gemma | SL | lr | 0.989 | -0.002 [-0.003, -0.001] | 0"
166,-0.002,"| Gemma | SL | lr | 0.989 | -0.002 [-0.003, -0.001] | 0.000 [-0."
166,-0.003,"| Gemma | SL | lr | 0.989 | -0.002 [-0.003, -0.001] | 0.000 [-0.000, 0.0"
166,-0.001,"| Gemma | SL | lr | 0.989 | -0.002 [-0.003, -0.001] | 0.000 [-0.000, 0.000] | DR"
166,0.000,"mma | SL | lr | 0.989 | -0.002 [-0.003, -0.001] | 0.000 [-0.000, 0.000] | DRIFT |"
166,-0.000,"L | lr | 0.989 | -0.002 [-0.003, -0.001] | 0.000 [-0.000, 0.000] | DRIFT |"
166,0.000," 0.989 | -0.002 [-0.003, -0.001] | 0.000 [-0.000, 0.000] | DRIFT |"
172,0.201,| GaMS3 | EN | 0.201 (L27) | 0.993 |
172,0.993,| GaMS3 | EN | 0.201 (L27) | 0.993 |
173,0.196,| GaMS3 | SL | 0.196 (L27) | 0.987 |
173,0.987,| GaMS3 | SL | 0.196 (L27) | 0.987 |
174,0.507,| Gemma | EN | 0.507 (L4) | 0.709 |
174,0.709,| Gemma | EN | 0.507 (L4) | 0.709 |
175,0.492,| Gemma | SL | 0.492 (L6) | 0.740 |
175,0.740,| Gemma | SL | 0.492 (L6) | 0.740 |
177,0.201,"n probe collapsed after editing: AUROC dropped to 0.201 at the worst layer, but a ref"
177,0.993,"t the worst layer, but a refit probe recovered to 0.993. The edit moved the harm sign"
179,0.002,zen probe was preserved: AUROC dropped by at most 0.002. The edit did not move the ha
185,6.20,"3, Cohen's d on the frozen harm axis dropped from 6.20 to 0.30 (EN) and from 5.61 to"
185,0.30,'s d on the frozen harm axis dropped from 6.20 to 0.30 (EN) and from 5.61 to -0.18 (
185,5.61,harm axis dropped from 6.20 to 0.30 (EN) and from 5.61 to -0.18 (SL). The share of m
185,-0.18,s dropped from 6.20 to 0.30 (EN) and from 5.61 to -0.18 (SL). The share of mean-diffe
185,0.71,difference energy on the frozen axis dropped from 0.71 to 0.002 (EN). The cosine bet
185,0.002,ce energy on the frozen axis dropped from 0.71 to 0.002 (EN). The cosine between the 
185,0.274,"ine between the pre- and post-edit refit axes was 0.274 (EN) and 0.188 (SL), confirmi"
185,0.188," pre- and post-edit refit axes was 0.274 (EN) and 0.188 (SL), confirming the edit rot"
185,22,otated the harm axis. Collapse onset was at layer 22.
187,5.29,"For Gemma, Cohen's d dropped from 5.29 to 4.94 (EN) and from 3.76 to"
187,4.94,"For Gemma, Cohen's d dropped from 5.29 to 4.94 (EN) and from 3.76 to 3.50 (S"
187,3.76,Cohen's d dropped from 5.29 to 4.94 (EN) and from 3.76 to 3.50 (SL). The frozen axis
187,3.50,d dropped from 5.29 to 4.94 (EN) and from 3.76 to 3.50 (SL). The frozen axis retaine
187,0.83,he frozen axis retained most of its energy share (0.83 → 0.80). The cosine between r
187,0.80,en axis retained most of its energy share (0.83 → 0.80). The cosine between refit ax
187,0.981, (0.83 → 0.80). The cosine between refit axes was 0.981. The edit barely moved the ha
191,16,| Model | Lang | R_seq item AUROC | R_seq 16-cell Spearman | R_seq pass | 
193,0.989,| GaMS3 | EN | 0.989 | 0.867 | True | 0.979 | Fals
193,0.867,| GaMS3 | EN | 0.989 | 0.867 | True | 0.979 | False | R_se
193,0.979,| GaMS3 | EN | 0.989 | 0.867 | True | 0.979 | False | R_seq |
194,0.995,| GaMS3 | SL | 0.995 | 0.899 | True | 0.963 | Fals
194,0.899,| GaMS3 | SL | 0.995 | 0.899 | True | 0.963 | False | R_se
194,0.963,| GaMS3 | SL | 0.995 | 0.899 | True | 0.963 | False | R_seq |
195,0.804,| Gemma | EN | 0.804 | 0.861 | False | 0.897 | Fal
195,0.861,| Gemma | EN | 0.804 | 0.861 | False | 0.897 | False | JUD
195,0.897,| Gemma | EN | 0.804 | 0.861 | False | 0.897 | False | JUDGE_ONLY |
196,0.920,| Gemma | SL | 0.920 | 0.856 | True | 0.968 | True
196,0.856,| Gemma | SL | 0.920 | 0.856 | True | 0.968 | True | R_seq
196,0.968,| Gemma | SL | 0.920 | 0.856 | True | 0.968 | True | R_seq |
202,0.36,"ld shifting. For GaMS3, the R_seq slope ratio was 0.36 (EN) and 0.42 (SL). For Gemma"
202,0.42,"or GaMS3, the R_seq slope ratio was 0.36 (EN) and 0.42 (SL). For Gemma, the R_seq sl"
202,0.61,"d 0.42 (SL). For Gemma, the R_seq slope ratio was 0.61 (EN) and 0.48 (SL)."
202,0.48,"or Gemma, the R_seq slope ratio was 0.61 (EN) and 0.48 (SL)."
206,36," to d_EN) was defined for both models. For GaMS3, 36 refusals (15 EN, 21 SL) out o"
206,15," defined for both models. For GaMS3, 36 refusals (15 EN, 21 SL) out of 275 r_prior"
206,21,"d for both models. For GaMS3, 36 refusals (15 EN, 21 SL) out of 275 r_prior genera"
206,275,"els. For GaMS3, 36 refusals (15 EN, 21 SL) out of 275 r_prior generations; cos(r_pr"
206,0.824,"; cos(r_prior, d_EN) before orthogonalisation was 0.824 (pooled). For Gemma, 55 refus"
206,55," orthogonalisation was 0.824 (pooled). For Gemma, 55 refusals (8 EN, 47 SL) out of"
206,8,"ation was 0.824 (pooled). For Gemma, 55 refusals (8 EN, 47 SL) out of 273; cos(r_"
206,47,"was 0.824 (pooled). For Gemma, 55 refusals (8 EN, 47 SL) out of 273; cos(r_prior, "
206,273,"led). For Gemma, 55 refusals (8 EN, 47 SL) out of 273; cos(r_prior, d_EN) was 0.631"
206,0.631," (8 EN, 47 SL) out of 273; cos(r_prior, d_EN) was 0.631. The within-SL cos(r_prior, l"
206,-0.038,"s 0.631. The within-SL cos(r_prior, lang_dir) was -0.038 (GaMS3) and -0.139 (Gemma), c"
206,-0.139,"-SL cos(r_prior, lang_dir) was -0.038 (GaMS3) and -0.139 (Gemma), confirming r_prior i"
212,0.0,| GaMS3 | 0.0 | 95.8 | 100.0 | 0.0000 | 0.0
212,95.8,| GaMS3 | 0.0 | 95.8 | 100.0 | 0.0000 | 0.0000 |
212,100.0,| GaMS3 | 0.0 | 95.8 | 100.0 | 0.0000 | 0.0000 |
212,0.0000,| GaMS3 | 0.0 | 95.8 | 100.0 | 0.0000 | 0.0000 |
212,0.0000,| GaMS3 | 0.0 | 95.8 | 100.0 | 0.0000 | 0.0000 |
213,0.5,| GaMS3 | 0.5 | 75.0 | 68.8 | 0.0088 | 0.00
213,75.0,| GaMS3 | 0.5 | 75.0 | 68.8 | 0.0088 | 0.0037 |
213,68.8,| GaMS3 | 0.5 | 75.0 | 68.8 | 0.0088 | 0.0037 |
213,0.0088,| GaMS3 | 0.5 | 75.0 | 68.8 | 0.0088 | 0.0037 |
213,0.0037,| GaMS3 | 0.5 | 75.0 | 68.8 | 0.0088 | 0.0037 |
214,1.0,| GaMS3 | 1.0 | 0.0 | 0.0 | 0.0405 | 0.0177
214,0.0,| GaMS3 | 1.0 | 0.0 | 0.0 | 0.0405 | 0.0177 |
214,0.0,| GaMS3 | 1.0 | 0.0 | 0.0 | 0.0405 | 0.0177 |
214,0.0405,| GaMS3 | 1.0 | 0.0 | 0.0 | 0.0405 | 0.0177 |
214,0.0177,| GaMS3 | 1.0 | 0.0 | 0.0 | 0.0405 | 0.0177 |
215,1.5,| GaMS3 | 1.5 | 0.0 | 2.1 | 0.1610 | 0.1167
215,0.0,| GaMS3 | 1.5 | 0.0 | 2.1 | 0.1610 | 0.1167 |
215,2.1,| GaMS3 | 1.5 | 0.0 | 2.1 | 0.1610 | 0.1167 |
215,0.1610,| GaMS3 | 1.5 | 0.0 | 2.1 | 0.1610 | 0.1167 |
215,0.1167,| GaMS3 | 1.5 | 0.0 | 2.1 | 0.1610 | 0.1167 |
216,0.0,| Gemma | 0.0 | 93.8 | 100.0 | 0.0000 | 0.0
216,93.8,| Gemma | 0.0 | 93.8 | 100.0 | 0.0000 | 0.0000 |
216,100.0,| Gemma | 0.0 | 93.8 | 100.0 | 0.0000 | 0.0000 |
216,0.0000,| Gemma | 0.0 | 93.8 | 100.0 | 0.0000 | 0.0000 |
216,0.0000,| Gemma | 0.0 | 93.8 | 100.0 | 0.0000 | 0.0000 |
217,0.5,| Gemma | 0.5 | 60.4 | 95.8 | 0.0000 | 0.00
217,60.4,| Gemma | 0.5 | 60.4 | 95.8 | 0.0000 | 0.0046 |
217,95.8,| Gemma | 0.5 | 60.4 | 95.8 | 0.0000 | 0.0046 |
217,0.0000,| Gemma | 0.5 | 60.4 | 95.8 | 0.0000 | 0.0046 |
217,0.0046,| Gemma | 0.5 | 60.4 | 95.8 | 0.0000 | 0.0046 |
218,1.0,| Gemma | 1.0 | 27.1 | 91.7 | 0.0000 | 0.01
218,27.1,| Gemma | 1.0 | 27.1 | 91.7 | 0.0000 | 0.0103 |
218,91.7,| Gemma | 1.0 | 27.1 | 91.7 | 0.0000 | 0.0103 |
218,0.0000,| Gemma | 1.0 | 27.1 | 91.7 | 0.0000 | 0.0103 |
218,0.0103,| Gemma | 1.0 | 27.1 | 91.7 | 0.0000 | 0.0103 |
219,1.5,| Gemma | 1.5 | 22.9 | 68.8 | 0.0000 | 0.03
219,22.9,| Gemma | 1.5 | 22.9 | 68.8 | 0.0000 | 0.0303 |
219,68.8,| Gemma | 1.5 | 22.9 | 68.8 | 0.0000 | 0.0303 |
219,0.0000,| Gemma | 1.5 | 22.9 | 68.8 | 0.0000 | 0.0303 |
219,0.0303,| Gemma | 1.5 | 22.9 | 68.8 | 0.0000 | 0.0303 |
220,2.0,| Gemma | 2.0 | 12.5 | 31.2 | 0.0000 | 0.09
220,12.5,| Gemma | 2.0 | 12.5 | 31.2 | 0.0000 | 0.0924 |
220,31.2,| Gemma | 2.0 | 12.5 | 31.2 | 0.0000 | 0.0924 |
220,0.0000,| Gemma | 2.0 | 12.5 | 31.2 | 0.0000 | 0.0924 |
220,0.0924,| Gemma | 2.0 | 12.5 | 31.2 | 0.0000 | 0.0924 |
221,3.0,| Gemma | 3.0 | 4.2 | 8.3 | 0.0000 | 0.8228
221,4.2,| Gemma | 3.0 | 4.2 | 8.3 | 0.0000 | 0.8228 |
221,8.3,| Gemma | 3.0 | 4.2 | 8.3 | 0.0000 | 0.8228 |
221,0.0000,| Gemma | 3.0 | 4.2 | 8.3 | 0.0000 | 0.8228 |
221,0.8228,| Gemma | 3.0 | 4.2 | 8.3 | 0.0000 | 0.8228 |
223,0.5,"For GaMS3, scaling the LoRA edit by f = 0.5 brought both languages to 68-"
223,68,he LoRA edit by f = 0.5 brought both languages to 68--75% refusal; at f = 1.0 both
223,-75%,LoRA edit by f = 0.5 brought both languages to 68--75% refusal; at f = 1.0 both reac
223,1.0,brought both languages to 68--75% refusal; at f = 1.0 both reached 0%. EN and SL re
223,0%,uages to 68--75% refusal; at f = 1.0 both reached 0%. EN and SL refusal declined i
223,1.0,"L refusal declined in parallel. For Gemma, at f = 1.0 (the core edit) EN refusal wa"
223,27%," Gemma, at f = 1.0 (the core edit) EN refusal was 27% while SL was 92%. Reaching SL"
223,92%,0 (the core edit) EN refusal was 27% while SL was 92%. Reaching SL refusal below 10
223,10%,"s 27% while SL was 92%. Reaching SL refusal below 10% required f = 3.0, at which po"
223,3.0,"s 92%. Reaching SL refusal below 10% required f = 3.0, at which point KL divergence"
223,0.82,"red f = 3.0, at which point KL divergence rose to 0.82 (SL), well above Heretic's op"
229,12,The uninstructed cjvt/GaMS3-12B base model (before SFT) was 
229,34,was tested with a Question/Answer format at layer 34. Frozen S3→S4 diff-in-means A
229,0.817,at layer 34. Frozen S3→S4 diff-in-means AUROC was 0.817 (EN) and 0.773 (SL). Grouped-
229,0.773,ozen S3→S4 diff-in-means AUROC was 0.817 (EN) and 0.773 (SL). Grouped-CV S4 AUROC rea
229,0.988, (EN) and 0.773 (SL). Grouped-CV S4 AUROC reached 0.988 (EN) and 0.958 (SL). The cosi
229,0.958, (SL). Grouped-CV S4 AUROC reached 0.988 (EN) and 0.958 (SL). The cosine between the 
229,0.781,en the base model's EN and SL harm directions was 0.781; the cosine between the base 
229,0.305,s d_EN and the instruction-tuned model's d_EN was 0.305. Out of 20 EN harmful continu
229,20," instruction-tuned model's d_EN was 0.305. Out of 20 EN harmful continuations, 14 "
229,14,"EN was 0.305. Out of 20 EN harmful continuations, 14 complied and 5 refused; out o"
229,5,"t of 20 EN harmful continuations, 14 complied and 5 refused; out of 20 SL harmful"
229,20," continuations, 14 complied and 5 refused; out of 20 SL harmful continuations, 13 "
229,13,"nd 5 refused; out of 20 SL harmful continuations, 13 complied and 5 refused. The b"
229,5,"t of 20 SL harmful continuations, 13 complied and 5 refused. The base model alrea"
229,0.305,e low cosine with the instruct model's direction (0.305) indicates instruction tuning
233,4,"### Experiment 4: C1 behaviour, RefusEU evalua"
235,3," held-out RefusEU multilingual refusal benchmark [3] in both EN and SL, measuring"
237,14,**Judge.** The primary judge was a local Qwen3-14B model (agreement with gpt-4.
237,4.1,"e was a local Qwen3-14B model (agreement with gpt-4.1: kappa 0.83 on 6-way labels, "
237,0.83,"al Qwen3-14B model (agreement with gpt-4.1: kappa 0.83 on 6-way labels, 0.91 on refu"
237,6,"-14B model (agreement with gpt-4.1: kappa 0.83 on 6-way labels, 0.91 on refused-v"
237,0.91,"reement with gpt-4.1: kappa 0.83 on 6-way labels, 0.91 on refused-vs-not; tested on "
237,4.1, on a calibration set before deployment). The gpt-4.1 judge was blocked partway thr
237,14,"tway through by API budget limits, so local Qwen3-14B served as the sole judge for"
237,4," local Qwen3-14B served as the sole judge for all 4,800 generations."
237,800,"ocal Qwen3-14B served as the sole judge for all 4,800 generations."
